route_name,start,finish,middle,dir,bayes,min_speed,bayes_raw_speeds,multi_level,city,adjust_low
Route 2 (Mitchell) - Hester Avenue to Swan River,"115.73268, -31.67184","115.84732, -31.96242",NA,NA,FALSE,NA,FALSE,FALSE,Perth,FALSE
Route 2 (Mitchell) - Swan River to Hester Avenue,"115.84706, -31.96163","115.73052, -31.67075",NA,NA,FALSE,NA,FALSE,FALSE,Perth,FALSE
Route 3 (Reid Hwy) - Mitchell Fwy to Tonkin Fwy,"115.80092, -31.85641","115.908178, -31.865917",NA,NA,FALSE,NA,FALSE,FALSE,Perth,FALSE
Route 3 (Reid Hwy) - Tonkin Fwy to Mitchell Fwy,"115.90876, -31.86612","115.79995, -31.85668",NA,NA,FALSE,NA,FALSE,FALSE,Perth,FALSE
Route 3 (Rowe Hwy) - Great Northern Highway to Kwinana Freeway,"116.01450, -31.86416","115.85605, -32.08795",NA,NA,TRUE,NA,FALSE,FALSE,Perth,FALSE
Route 3 (Rowe Hwy) - Kwinana Fwy to Great Northern Highway,"115.85379, -32.08745","116.01490, -31.86443",NA,NA,FALSE,NA,FALSE,FALSE,Perth,FALSE
Route 4 - Great Northern Highway to Thomas Rd,"115.99280, -31.57494","115.96962, -32.20691",NA,NA,TRUE,NA,TRUE,FALSE,Perth,FALSE
Route 4 - Thomas Rd to Great Northern Highway,"115.96945, -32.20673","115.99262, -31.57500",NA,NA,FALSE,NA,FALSE,FALSE,Perth,FALSE
"Route 5 - Great Eastern Highway to Stirling Hwy, High St","115.886935, -31.967269","115.76427, -32.05050","115.80730, -31.97855",NA,TRUE,NA,TRUE,FALSE,Perth,FALSE
"Route 5 - Stirling Hwy, High St to Great Eastern Highway","115.76414, -32.05044","115.887128, -31.967240","115.80434, -31.97897",NA,TRUE,NA,TRUE,FALSE,Perth,FALSE
Route 6 - Fremantle to Great Eastern Highway,"115.75360, -32.04397","115.88636, -31.96977",NA,NA,TRUE,NA,TRUE,FALSE,Perth,FALSE
Route 6 - Great Eastern Highway to Fremantle,"115.88671, -31.96964","115.75519, -32.04277",NA,NA,TRUE,NA,TRUE,FALSE,Perth,FALSE
Route 7 - Stirling Hwy to Tonkin Fwy,"115.76525, -32.05061","115.95225, -31.96940",NA,NA,FALSE,NA,FALSE,FALSE,Perth,FALSE
Route 7 - Tonkin Fwy to Stirling Hwy,"115.95319, -31.96888","115.76439, -32.05074",NA,NA,FALSE,NA,FALSE,FALSE,Perth,FALSE
Route 8 - Canning Road to Mitchell Fwy,"116.07391, -32.01908","115.85403, -31.94379",NA,NA,TRUE,NA,TRUE,FALSE,Perth,FALSE
Route 8 - Mitchell Fwy to Canning Rd,"115.85413, -31.94362","116.07391, -32.01908",NA,NA,TRUE,NA,TRUE,FALSE,Perth,FALSE
Western Freeway - Bacchus Marsh to Derrimut,"144.44412, -37.66401","144.77170, -37.79841",NA,NA,FALSE,NA,FALSE,FALSE,Melbourne,FALSE
Western Freeway - Derrimut to Bacchus Marsh,"144.77137, -37.79853","144.44432, -37.66433",NA,NA,FALSE,NA,FALSE,FALSE,Melbourne,FALSE
